hand,name,index,segmentation,depth,pose_estimation
allegro,apple,0,X,X,X
allegro,apple,1,X,X,X
allegro,apple,2,X,X,X
allegro,apple,3,X,X,X
allegro,attached_container,0,X,X,X
allegro,attached_container,1,X,X,X
allegro,attached_container,2,X,X,X
allegro,attached_container,3,X,X,X
allegro,attached_container,4,X,X,X
allegro,baby_beaker,0,X,X,X
allegro,baby_beaker,1,X,X,X
allegro,baby_beaker,2,X,X,X
allegro,baby_beaker,3,X,X,X
allegro,baby_beaker,4,X,X,X
allegro,balloon_whisk,0,X,X,X
allegro,bamboo_basket,0,X,X,X
allegro,bamboo_basket,1,X,X,X
allegro,bamboo_basket,2,X,X,X
allegro,bamboo_basket,3,X,X,X
allegro,bamboo_box,0,X,X,X
allegro,bamboo_box,1,X,X,X
allegro,bamboo_box,2,X,X,X
allegro,baseball,0,X,X,X
allegro,baseball,1,X,X,X
allegro,baseball,2,X,X,X
allegro,black_holder_with_handle,0,X,X,X
allegro,black_holder_with_handle,1,X,X,X
allegro,black_holder_with_handle,2,X,X,X
allegro,black_holder_with_handle,3,X,X,X
allegro,black_holder_with_handle,4,X,X,X
allegro,blue_vase,0,X,X,X
allegro,blue_vase,1,X,X,X
allegro,book,0,X,X,X
allegro,book,1,X,X,X
allegro,book,2,X,X,X
allegro,book,3,X,X,X
allegro,book,4,X,X,X
allegro,box_pink,0,X,X,X
allegro,box_pink,1,X,X,X
allegro,box_pink,2,X,X,X
allegro,box_pink,3,X,X,X
allegro,box_pink,4,X,X,X
allegro,brass_pot,0,X,X,X
allegro,brass_pot,1,X,X,X
allegro,brass_pot,2,X,X,X
allegro,brass_pot,3,X,X,X
allegro,brass_pot,4,X,X,X
allegro,brass_pot,5,X,X,X
allegro,brown_ramen,0,X,X,X
allegro,brown_ramen,1,X,X,X
allegro,brown_ramen,2,X,X,X
allegro,cactus,0,X,X,X
allegro,cactus,1,X,X,X
allegro,cactus,2,X,X,X
allegro,clock,0,X,X,X
allegro,clock,1,X,X,X
allegro,clock,2,X,X,X
allegro,coffee_tin,0,X,X,X
allegro,coffee_tin,1,X,X,X
allegro,coffee_tin,2,X,X,X
allegro,coffee_tin,3,X,X,X
allegro,coffee_tin,4,X,X,X
allegro,coffee_tin,5,X,X,X
allegro,colander_green,0,X,X,X
allegro,colander_green,1,X,X,X
allegro,colander_green,2,X,X,X
allegro,colander_green,3,X,X,X
allegro,colander_green,4,X,X,X
allegro,container_pink,0,X,X,X
allegro,container_pink,1,X,X,X
allegro,container_pink,2,X,X,X
allegro,french_mustard,0,X,X,X
allegro,french_mustard,1,X,X,X
allegro,french_mustard,2,X,X,X
allegro,french_mustard,3,X,X,X
allegro,french_mustard,4,X,X,X
allegro,green_soap_dispenser,0,X,X,X
allegro,green_soap_dispenser,1,X,X,X
allegro,green_soap_dispenser,2,X,X,X
allegro,green_soap_dispenser,3,X,X,X
allegro,grey_pot,0,X,X,X
allegro,grey_pot,1,X,X,X
allegro,grey_pot,2,X,X,X
allegro,grey_pot,3,X,X,X
allegro,grey_pot,4,X,X,X
allegro,jja_ramen,0,X,X,X
allegro,jja_ramen,1,X,X,X
allegro,jja_ramen,2,X,X,X
allegro,jja_ramen,3,X,X,X
allegro,lotion,0,X,X,X
allegro,lotion,1,X,X,X
allegro,lotion,2,X,X,X
allegro,lotion,3,X,X,X
allegro,mug_holder,0,X,X,X
allegro,mug_holder,1,X,X,X
allegro,mug_holder,2,X,X,X
allegro,mug_holder,3,X,X,X
allegro,mug_holder,4,X,X,X
allegro,mug_holder,5,X,X,X
allegro,mug_holder,6,X,X,X
allegro,mug_holder,7,X,X,X
allegro,mug_holder,8,X,X,X
allegro,mug_holder,9,X,X,X
allegro,mug_holder,10,X,X,X
allegro,mug_holder,11,X,X,X
allegro,orange,0,X,X,X
allegro,orange,1,X,X,X
allegro,orange,2,X,X,X
allegro,orange,3,X,X,X
allegro,organizer_beige,0,X,X,X
allegro,organizer_beige,1,X,X,X
allegro,organizer_beige,2,X,X,X
allegro,pepper_tuna,0,X,X,X
allegro,pepsi,0,X,X,X
allegro,pepsi,1,X,X,X
allegro,pepsi,2,X,X,X
allegro,pepsi,3,X,X,X
allegro,pepsi,4,X,X,X
allegro,pink_clock,0,X,X,X
allegro,pink_clock,1,X,X,X
allegro,pink_clock,2,X,X,X
allegro,pink_clock,3,X,X,X
allegro,pink_clock,4,X,X,X
allegro,pringles,0,X,X,X
allegro,pringles,1,X,X,X
allegro,pringles,2,X,X,X
allegro,pringles_small,0,X,X,X
allegro,pringles_small,1,X,X,X
allegro,pringles_small,2,X,X,X
allegro,redcar,0,X,X,X
allegro,spam_can,0,X,X,X
allegro,spam_can,1,X,X,X
allegro,spicemill,0,X,X,X
allegro,spicemill,1,X,X,X
allegro,spicemill,2,X,X,X
allegro,spicemill,3,X,X,X
allegro,toothbrush_holder,0,X,X,X
allegro,toothbrush_holder,1,X,X,X
allegro,toothbrush_holder,2,X,X,X
allegro,toothbrush_holder,3,X,X,X
