hand,name,index,segmentation,depth,pose_estimation
inspire_f1,apple,0,,X,X
inspire_f1,apple,1,,X,X
inspire_f1,apple,2,,X,X
inspire_f1,apple,3,,X,X
inspire_f1,apple,4,,X,X
inspire_f1,apple,5,,X,X
inspire_f1,attached_container,0,,,
inspire_f1,attached_container,1,,,
inspire_f1,attached_container,2,,,
inspire_f1,attached_container,3,,,
inspire_f1,attached_container,4,,,
inspire_f1,attached_container,5,,,
inspire_f1,attached_container,6,,,
inspire_f1,baby_beaker,0,,,
inspire_f1,baby_beaker,1,,,
inspire_f1,baby_beaker,2,,,
inspire_f1,baby_beaker,3,,,
inspire_f1,baby_beaker,4,,,
inspire_f1,baby_beaker,5,,X,X
inspire_f1,baby_beaker,6,,X,X
inspire_f1,baby_beaker,7,,,
inspire_f1,balloon_whisk,0,,,
inspire_f1,balloon_whisk,1,,,
inspire_f1,balloon_whisk,2,,,
inspire_f1,balloon_whisk,3,,,
inspire_f1,balloon_whisk,4,,X,X
inspire_f1,balloon_whisk,5,,,
inspire_f1,balloon_whisk,6,,,
inspire_f1,balloon_whisk,7,,,
inspire_f1,balloon_whisk,8,,,
inspire_f1,bamboo_basket,0,,,X
inspire_f1,bamboo_basket,1,,,X
inspire_f1,bamboo_basket,2,,,X
inspire_f1,bamboo_basket,3,,,X
inspire_f1,bamboo_basket,4,,,X
inspire_f1,bamboo_basket,5,,,X
inspire_f1,bamboo_box,0,,,X
inspire_f1,bamboo_box,1,,,X
inspire_f1,bamboo_box,2,,X,X
inspire_f1,bamboo_box,3,,X,X
inspire_f1,bamboo_box,4,,X,X
inspire_f1,banana,0,,X,X
inspire_f1,banana,1,,X,X
inspire_f1,banana,2,,X,X
inspire_f1,banana,3,,X,X
inspire_f1,banana,4,,X,X
inspire_f1,banana,5,,X,X
inspire_f1,baseball,0,,X,X
inspire_f1,baseball,1,,X,X
inspire_f1,baseball,2,,X,X
inspire_f1,baseball,3,,X,X
inspire_f1,baseball,4,,X,X
inspire_f1,baseball,5,,X,X
inspire_f1,baseball,6,,X,X
inspire_f1,baseball,7,,X,X
inspire_f1,baseball,8,,X,X
inspire_f1,baseball,9,,X,X
inspire_f1,baseball,10,,X,X
inspire_f1,beige_brush,0,,X,X
inspire_f1,beige_brush,1,,X,X
inspire_f1,beige_brush,2,,X,X
inspire_f1,beige_brush,3,,X,X
inspire_f1,beige_brush,4,,X,X
inspire_f1,beige_brush,5,,X,X
inspire_f1,beige_brush,6,,X,X
inspire_f1,black_holder_with_handle,0,,X,X
inspire_f1,black_holder_with_handle,1,,X,X
inspire_f1,black_holder_with_handle,2,,X,X
inspire_f1,black_holder_with_handle,3,,X,X
inspire_f1,black_holder_with_handle,4,X,X,X
inspire_f1,black_holder_with_handle,5,,X,X
inspire_f1,black_holder_with_handle,6,,X,X
inspire_f1,black_holder_with_handle,7,,X,X
inspire_f1,black_holder_with_handle,8,,X,X
inspire_f1,black_holder_with_handle,9,,X,X
inspire_f1,black_kitchen_roll_holder,0,,X,X
inspire_f1,black_kitchen_roll_holder,1,,X,X
inspire_f1,black_kitchen_roll_holder,2,,X,X
inspire_f1,black_kitchen_roll_holder,3,,X,X
inspire_f1,black_kitchen_roll_holder,4,,X,X
inspire_f1,black_kitchen_roll_holder,5,,X,X
inspire_f1,black_kitchen_roll_holder,6,,X,X
inspire_f1,black_kitchen_roll_holder,7,,X,X
inspire_f1,blue_alarm,0,,X,X
inspire_f1,blue_alarm,1,,X,X
inspire_f1,blue_alarm,2,,X,X
inspire_f1,blue_alarm,3,,X,X
inspire_f1,blue_alarm,4,,X,X
inspire_f1,blue_alarm,5,,X,X
inspire_f1,blue_alarm,6,,X,X
inspire_f1,blue_alarm,7,,X,X
inspire_f1,blue_alarm,8,,X,X
inspire_f1,blue_alarm,9,,X,X
inspire_f1,blue_plastic_box,0,,X,X
inspire_f1,blue_plastic_box,1,,X,X
inspire_f1,blue_plastic_box,2,,X,X
inspire_f1,blue_plastic_box,3,,X,X
inspire_f1,blue_vase,0,,X,X
inspire_f1,blue_vase,1,,X,X
inspire_f1,blue_vase,2,,X,X
inspire_f1,blue_vase,3,,X,X
inspire_f1,blue_vase,4,,X,X
inspire_f1,blue_vase,5,,X,X
inspire_f1,blue_vase,6,,X,X
inspire_f1,book,0,,X,X
inspire_f1,book,1,,X,X
inspire_f1,book,2,,X,X
inspire_f1,book,3,,X,X
inspire_f1,book,4,,X,X
inspire_f1,box_pink,0,X,X,X
inspire_f1,box_pink,1,X,X,X
inspire_f1,box_pink,2,X,X,X
inspire_f1,box_pink,3,X,X,X
inspire_f1,box_pink,4,X,X,X
inspire_f1,brass_pot,0,,X,X
inspire_f1,brass_pot,1,,X,X
inspire_f1,brass_pot,2,,X,X
inspire_f1,brass_pot,3,,X,X
inspire_f1,brass_pot,4,,X,X
inspire_f1,brass_pot,5,,X,X
inspire_f1,brass_pot,6,,X,X
inspire_f1,brass_pot,7,,X,X
inspire_f1,brass_pot,8,,X,X
inspire_f1,brass_pot,9,X,X,X
inspire_f1,brass_pot,10,,X,X
inspire_f1,brown_ramen,0,X,X,X
inspire_f1,brown_ramen,1,X,X,X
inspire_f1,brown_ramen,2,X,X,X
inspire_f1,brown_ramen,3,X,X,X
inspire_f1,brown_ramen,4,X,X,X
inspire_f1,brown_ramen,5,X,X,X
inspire_f1,brown_ramen,6,X,X,X
inspire_f1,brown_ramen,7,X,X,X
inspire_f1,brown_ramen,8,X,X,X
inspire_f1,brown_ramen,9,X,X,X
inspire_f1,brown_ramen,10,X,X,X
inspire_f1,brown_ramen,11,X,X,X
inspire_f1,cactus,0,,X,X
inspire_f1,cactus,1,,X,X
inspire_f1,cactus,2,,X,X
inspire_f1,cactus,3,,X,X
inspire_f1,cactus,4,,X,X
inspire_f1,cactus2,0,,X,X
inspire_f1,cactus2,1,,X,X
inspire_f1,cactus2,2,,X,X
inspire_f1,cactus2,3,,X,X
inspire_f1,cactus2,4,,X,X
inspire_f1,cactus3,0,,X,X
inspire_f1,cactus3,1,X,X,X
inspire_f1,cactus3,2,X,X,X
inspire_f1,cactus3,3,X,X,X
inspire_f1,cactus3,4,X,X,X
inspire_f1,cactus3,5,X,X,X
inspire_f1,ceramic_elephant_jug,0,X,X,X
inspire_f1,ceramic_elephant_jug,1,X,X,X
inspire_f1,ceramic_elephant_jug,2,X,X,X
inspire_f1,ceramic_elephant_jug,3,X,X,X
inspire_f1,ceramic_elephant_jug,4,X,X,X
inspire_f1,ceramic_elephant_jug,5,X,X,X
inspire_f1,ceramic_elephant_jug,6,X,X,X
inspire_f1,ceramic_elephant_jug,7,X,X,X
inspire_f1,ceramic_elephant_jug,8,X,X,X
inspire_f1,circular_frying_pan,0,X,X,X
inspire_f1,circular_frying_pan,1,X,X,X
inspire_f1,circular_frying_pan,2,X,X,X
inspire_f1,circular_frying_pan,3,X,X,X
inspire_f1,circular_frying_pan,4,X,X,X
inspire_f1,circular_frying_pan,5,X,X,X
inspire_f1,circular_frying_pan,6,X,X,X
inspire_f1,circular_frying_pan,7,X,X,X
inspire_f1,clock,0,X,X,X
inspire_f1,clock,1,X,X,X
inspire_f1,clock,2,X,X,X
inspire_f1,clock,3,X,X,X
inspire_f1,clock,4,X,X,X
inspire_f1,clock,5,X,X,X
inspire_f1,clock,6,X,X,X
inspire_f1,clothes_hanger,0,X,X,X
inspire_f1,clothes_hanger,1,X,X,X
inspire_f1,clothes_hanger,2,X,X,X
inspire_f1,clothes_hanger,3,X,X,X
inspire_f1,clothes_hanger,4,X,X,X
inspire_f1,coffee_tin,0,X,X,X
inspire_f1,coffee_tin,1,X,X,X
inspire_f1,coffee_tin,2,X,X,X
inspire_f1,coffee_tin,3,X,X,X
inspire_f1,coffee_tin,4,X,X,X
inspire_f1,coffee_tin,5,X,X,X
inspire_f1,coffee_tin,6,X,X,X
inspire_f1,coffee_tin,7,X,X,X
inspire_f1,colander_green,0,X,X,X
inspire_f1,colander_green,1,X,X,X
inspire_f1,colander_green,2,X,X,X
inspire_f1,colander_green,3,X,X,X
inspire_f1,colander_green,4,X,X,X
inspire_f1,colander_green,5,X,X,X
inspire_f1,colander_green,6,X,X,X
inspire_f1,colander_green,7,X,X,X
inspire_f1,container_pink,0,X,X,X
inspire_f1,container_pink,1,X,X,X
inspire_f1,container_pink,2,X,X,X
inspire_f1,container_pink,3,X,X,X
inspire_f1,container_pink,4,X,X,X
inspire_f1,container_pink,5,X,X,X
inspire_f1,container_pink,6,X,X,X
inspire_f1,donut,0,X,X,X
inspire_f1,donut,1,X,X,X
inspire_f1,donut,2,X,X,X
inspire_f1,donut,3,X,X,X
inspire_f1,donut,4,X,X,X
inspire_f1,donut,5,X,X,X
inspire_f1,frame_oak,0,X,X,X
inspire_f1,frame_oak,1,X,X,X
inspire_f1,frame_oak,2,X,X,X
inspire_f1,frame_oak,3,X,X,X
inspire_f1,frame_oak,4,X,X,X
inspire_f1,frame_oak,5,X,X,X
inspire_f1,frame_oak,6,X,X,X
inspire_f1,frame_red,0,X,X,X
inspire_f1,frame_red,1,X,X,X
inspire_f1,frame_red,2,X,X,X
inspire_f1,frame_red,3,X,X,X
inspire_f1,frame_red,4,X,X,X
inspire_f1,french_mustard,0,X,X,X
inspire_f1,french_mustard,1,X,X,X
inspire_f1,french_mustard,2,X,X,X
inspire_f1,french_mustard,3,X,X,X
inspire_f1,french_mustard,4,X,X,X
inspire_f1,french_mustard,5,X,X,X
inspire_f1,frog_bowl,0,X,X,X
inspire_f1,frog_bowl,1,X,X,X
inspire_f1,frog_bowl,2,X,X,X
inspire_f1,frog_bowl,3,X,X,X
inspire_f1,frog_bowl,4,X,X,X
inspire_f1,frog_cup,0,X,X,X
inspire_f1,frog_cup,1,X,X,X
inspire_f1,frog_cup,2,X,X,X
inspire_f1,frog_cup,3,X,X,X
inspire_f1,frog_cup,4,X,X,X
inspire_f1,frog_cup,5,X,X,X
inspire_f1,frog_cup,6,X,X,X
inspire_f1,fruit_cutter_base,0,X,X,X
inspire_f1,fruit_cutter_base,1,X,X,X
inspire_f1,fruit_cutter_base,2,X,X,X
inspire_f1,fruit_cutter_base,3,X,X,X
inspire_f1,fruit_cutter_base,4,X,X,X
inspire_f1,fruit_cutter_base,5,X,X,X
inspire_f1,fruit_cutter_base,6,X,X,X
inspire_f1,fruit_cutter_green,0,X,X,X
inspire_f1,fruit_cutter_green,1,X,X,X
inspire_f1,fruit_cutter_green,2,X,X,X
inspire_f1,fruit_cutter_green,3,X,X,X
inspire_f1,fruit_cutter_green,4,X,X,X
inspire_f1,fruit_cutter_green,5,X,X,X
inspire_f1,fruit_cutter_green,6,X,X,X
inspire_f1,fruit_cutter_green,7,X,X,X
inspire_f1,fruit_cutter_green,8,X,X,X
inspire_f1,fruit_cutter_green,9,X,X,X
inspire_f1,fruit_cutter_green,10,X,X,X
inspire_f1,green_attached_container,0,X,X,X
inspire_f1,green_attached_container,1,X,X,X
inspire_f1,green_attached_container,2,X,X,X
inspire_f1,green_attached_container,3,X,X,X
inspire_f1,green_attached_container,4,X,X,X
inspire_f1,green_attached_container,5,X,X,X
inspire_f1,green_attached_container,6,X,X,X
inspire_f1,green_attached_container,7,X,X,X
inspire_f1,green_attached_container,8,X,X,X
inspire_f1,green_attached_container,9,X,X,X
inspire_f1,green_cactus_vase,0,X,X,X
inspire_f1,green_cactus_vase,1,X,X,X
inspire_f1,green_cactus_vase,2,X,X,X
inspire_f1,green_cactus_vase,3,X,X,X
inspire_f1,green_cactus_vase,4,X,X,X
inspire_f1,green_cactus_vase,5,X,X,X
inspire_f1,green_cactus_vase,6,X,X,X
inspire_f1,green_cactus_vase,7,X,X,X
inspire_f1,green_glass,0,X,X,X
inspire_f1,green_glass,1,X,X,X
inspire_f1,green_glass,2,X,X,X
inspire_f1,green_glass,3,X,X,X
inspire_f1,green_glass,4,X,X,X
inspire_f1,green_glass,5,X,X,X
inspire_f1,green_glass,6,X,X,X
inspire_f1,green_soap_dispenser,0,X,X,X
inspire_f1,green_soap_dispenser,1,X,X,X
inspire_f1,green_soap_dispenser,2,X,X,X
inspire_f1,green_soap_dispenser,3,X,X,X
inspire_f1,green_soap_dispenser,4,X,X,X
inspire_f1,green_soap_dispenser,5,X,X,X
inspire_f1,green_soap_dispenser,6,X,X,X
inspire_f1,green_soap_dispenser,7,X,X,X
inspire_f1,green_tray,0,X,X,X
inspire_f1,green_tray,1,X,X,X
