hand,name,index,segmentation,depth,pose_estimation
inspire,apple,0,X,X,X
inspire,apple,1,X,X,X
inspire,apple,2,X,X,X
inspire,attached_container,0,X,X,X
inspire,attached_container,1,X,X,X
inspire,attached_container,2,X,X,X
inspire,attached_container,3,X,X,X
inspire,baby_beaker,0,X,X,X
inspire,baby_beaker,1,X,X,X
inspire,baby_beaker,2,X,X,X
inspire,bamboo_basket,0,X,X,X
inspire,bamboo_basket,1,X,X,X
inspire,bamboo_basket,2,X,X,X
inspire,bamboo_basket,3,X,X,X
inspire,bamboo_box,0,X,X,X
inspire,bamboo_box,1,X,X,X
inspire,bamboo_box,2,X,X,X
inspire,bamboo_box,3,X,X,X
inspire,baseball,0,X,X,X
inspire,baseball,1,X,X,X
inspire,baseball,2,X,X,X
inspire,baseball,3,X,X,X
inspire,baseball,4,X,X,X
inspire,baseball,5,X,X,X
inspire,black_holder_with_handle,0,X,X,X
inspire,black_holder_with_handle,1,X,X,X
inspire,black_holder_with_handle,2,X,X,X
inspire,blue_vase,0,X,X,X
inspire,blue_vase,1,X,X,X
inspire,blue_vase,2,X,X,X
inspire,blue_vase,3,X,X,X
inspire,blue_vase,4,X,X,X
inspire,blue_vase,5,X,X,X
inspire,book,0,X,X,X
inspire,book,1,X,X,X
inspire,book,2,X,X,X
inspire,book,3,X,X,X
inspire,box_pink,0,X,X,X
inspire,box_pink,1,X,X,X
inspire,box_pink,2,X,X,X
inspire,box_pink,3,X,X,X
inspire,box_pink,4,X,X,X
inspire,box_pink,5,X,X,X
inspire,brass_pot,0,X,X,X
inspire,brass_pot,1,X,X,X
inspire,brass_pot,2,X,X,X
inspire,brass_pot,3,X,X,X
inspire,brass_pot,4,X,X,X
inspire,brass_pot,5,X,X,X
inspire,brass_pot,6,X,X,X
inspire,brown_ramen,0,X,X,X
inspire,brown_ramen,1,X,X,X
inspire,brown_ramen,2,X,X,X
inspire,clock,0,X,X,X
inspire,clock,1,X,X,X
inspire,clock,2,X,X,X
inspire,clock,3,X,X,X
inspire,coffee_tin,0,X,X,X
inspire,coffee_tin,1,X,X,X
inspire,coffee_tin,2,X,X,X
inspire,colander_green,0,X,X,X
inspire,colander_green,1,X,X,X
inspire,colander_green,2,X,X,X
inspire,container_pink,0,X,X,X
inspire,container_pink,1,X,X,X
inspire,container_pink,2,X,X,X
inspire,french_mustard,0,X,X,X
inspire,french_mustard,1,X,X,X
inspire,french_mustard,2,X,X,X
inspire,french_mustard,3,X,X,X
inspire,french_mustard,4,X,X,X
inspire,green_soap_dispenser,0,X,X,X
inspire,green_soap_dispenser,1,X,X,X
inspire,green_soap_dispenser,2,X,X,X
inspire,green_soap_dispenser,3,X,X,X
inspire,green_soap_dispenser,4,X,X,X
inspire,green_soap_dispenser,5,X,X,X
inspire,grey_pot,0,X,X,X
inspire,grey_pot,1,X,X,X
inspire,grey_pot,2,X,X,X
inspire,jja_ramen,0,X,X,X
inspire,jja_ramen,1,X,X,X
inspire,jja_ramen,2,X,X,X
inspire,lotion,0,X,X,X
inspire,lotion,1,X,X,X
inspire,lotion,2,X,X,X
inspire,lotion,3,X,X,X
inspire,mug_holder,0,X,X,X
inspire,mug_holder,1,X,X,X
inspire,mug_holder,2,X,X,X
inspire,orange,0,X,X,X
inspire,orange,1,X,X,X
inspire,orange,2,X,X,X
inspire,orange,3,X,X,X
inspire,organizer_beige,0,X,X,X
inspire,organizer_beige,1,X,X,X
inspire,organizer_beige,2,X,X,X
inspire,organizer_beige,3,X,X,X
inspire,organizer_beige,4,X,X,X
inspire,organizer_beige,5,X,X,X
inspire,pepsi,0,X,X,X
inspire,pepsi,1,X,X,X
inspire,pepsi,2,X,X,X
inspire,pepsi,3,X,X,X
inspire,pink_clock,0,X,X,X
inspire,pink_clock,1,X,X,X
inspire,pink_clock,2,X,X,X
inspire,pringes_small,0,X,X,X
inspire,pringes_small,1,X,X,X
inspire,pringes_small,2,X,X,X
inspire,pringes_small,3,X,X,X
inspire,pringles,0,X,X,X
inspire,pringles,1,X,X,X
inspire,pringles,2,X,X,X
inspire,spicemill,0,X,X,X
inspire,spicemill,1,X,X,X
inspire,spicemill,2,X,X,X
inspire,spicemill,3,X,X,X
inspire,spicemill,4,X,X,X
inspire,spicemill,5,X,X,X
inspire,toothbrush_holder,0,X,X,X
inspire,toothbrush_holder,1,X,X,X
inspire,toothbrush_holder,2,X,X,X
inspire,toothbrush_holder,3,X,X,X
inspire,toothbrush_holder,4,X,X,X
