Name,Succ,Fail,Tot,In candidates,Issues
attached_container,0,1,1,O,
box_pink,,,,O,
clock,3,9,12,O,
organizer_beige,8,10,18,O,"no-smooth:3"
toothbrush_holder,3,7,10,O,
bamboo_box,,,,O,
servingbowl_small,2,9,11,O,
smallbowl,1,7,8,O,
soaptray,25,30,55,O,"fast-lift:50; no-smooth:5"
thermo_clock,,,,O,
container_pink,,,,O,
lemon_squeezer,3,4,7,O,
brown_ramen,8,26,34,O,"pre-snap_z:3; fast-lift:31"
banana,5,3,8,O,
donut,,,,O,
yellow_funnel,,,,O,
coffee_tin,,,,O,
baby_beaker,,,,O,
icecream_scoop,13,9,22,O,
spicemill,,,,O,
open_box,,,,O,
plant_mister,11,38,49,O,"pre-snap_z:49"
wateringcan,5,34,39,O,"pre-snap_z:39"
mug_holder,,,,O,
magazine_file,,,,O,
blue_alarm,30,44,74,O,"fast-lift:102"
donut_light,1,5,6,O,
soap_dispenser,,,,O,
colander_green,,,,O,
standing_frame,,,,O,
washing_brush2,,,,O,
yellow_plastic_glass,,,,O,
large_peg,,,,O,
screwdriver,,,,O,
knife_sharpner,,,,O,
black_kitchen_roll_holder,,,,O,
frame_oak,,,,O,
frame_red,,,,O,
green_lamp,,,,O,
green_soap_dispenser,,,,O,
lilac_food_container,,,,O,
potato_mesher,,,,O,
rolling_pin,,,,O,
washing_brush,,,,O,
white_hand_shower,,,,O,
white_pen_cup,,,,O,
white_plastic_box,,,,O,
wood_tray_big,,,,O,
wood_tray_small,1,10,11,O,
work_lamp,,,,O,
yellow_plastic_cup,,,,O,
blue_vase,0,8,8,O,"pre-snap_z:8"
green_attached_container,5,9,14,O,
redcar,,,,O,
wood_organizer,16,35,51,O,"pre-snap_z:47"
brass_pot,,,,O,
green_cactus_vase,,,,O,
light_green_basket,,,,O,
pink_clock,,,,O,
plant_pot,,,,O,
spray_bottle,,,,O,
toilet_roll_holder_steel,,,,O,
white_candle_holder,,,,O,
white_clock,,,,O,
white_soap_dish,4,6,10,O,
white_table_lamp,,,,O,
white_watering_can,,,,O,
yellow_wash_tub,,,,O,
frog_bowl,,,,O,
fruit_cutter_base,,,,O,
fruit_cutter_green,,,,O,
fruit_cutter_light_green,,,,O,
metal_scoop_big,1,7,8,O,
pastel_blue_cup,,,,O,
balloon_whisk,,,,O,
beige_brush,5,4,9,O,
black_holder_with_handle,,,,O,
corkscrew,,,,O,
white_wood_handle_watering_can,,,,O,
metal_scoop_small,2,7,9,O,
lemon,,,,O,
apple,,,,O,
orange,,,,O,
frog_cup,4,4,8,O,
open_short_pringles,3,2,5,O,
pepper_tuna,1,6,7,O,"pre-snap_z:7; cylinder-snap-buggy"
paper_cup,,,,O,
french_mustard,5,1,6,O,
spam_can,,,,O,
paper_box,,,,O,
paper_bowl,,,,O,
shoe_organizer,,,,O,
tissue_box,,,,O,
tennis_ball,,,,O,
tea_case,,,,O,
jja_ramen,7,3,10,O,
pepsi,,,,O,
baseball,,,,O,
pingpong,,,,O,
book,9,1,10,O,"pre-snap_z:10"
pepper_tuna_light,10,11,21,O,"pre-snap_z:21; cylinder-snap-buggy"
pepsi_light,11,8,19,O,"pre-snap_z:19; cylinder-snap-buggy"
