Name,A_SR,A_Tot,I_SR,I_Tot,A_cand,I_cand,Issues
attached_container,0/1,1,11/16,16,O,O,
box_pink,,,,,O,O,
clock,3/12,12,,,O,O,
organizer_beige,8/18,18,,,O,O,"A:no-smooth:3"
toothbrush_holder,3/10,10,,,O,O,
bamboo_box,,,,,O,O,
servingbowl_small,2/11,11,,,O,O,
smallbowl,1/8,8,9/11,11,O,O,
soaptray,25/55,55,1/3,3,O,O,"A:fast-lift:50; no-smooth:5"
thermo_clock,,,,,O,O,
container_pink,,,,,O,O,
lemon_squeezer,3/7,7,,,O,O,
brown_ramen,8/34,34,,,O,O,"A:pre-snap_z:3; fast-lift:31"
banana,5/8,8,10/10,10,O,O,
donut,,,,,O,O,
yellow_funnel,,,,,O,O,
coffee_tin,,,,,O,O,
baby_beaker,,,,,O,O,
icecream_scoop,13/22,22,,,O,O,
spicemill,,,,,O,O,
open_box,,,2/4,4,O,O,
plant_mister,11/49,49,,,O,O,"A:pre-snap_z:49"
wateringcan,5/39,39,,,O,O,"A:pre-snap_z:39"
mug_holder,,,,,O,O,
magazine_file,,,,,O,O,
blue_alarm,30/74,74,,,O,O,"A:fast-lift:102"
donut_light,1/6,6,,,O,O,
soap_dispenser,,,,,O,O,
colander_green,,,,,O,O,
standing_frame,,,,,O,O,
washing_brush2,,,,,O,O,
yellow_plastic_glass,,,,,O,O,
large_peg,,,,,O,O,
screwdriver,,,,,O,O,
knife_sharpner,,,,,O,O,
black_kitchen_roll_holder,,,,,O,O,
frame_oak,,,,,O,O,
frame_red,,,,,O,O,
green_lamp,,,,,O,O,
green_soap_dispenser,,,,,O,O,
lilac_food_container,,,,,O,O,
potato_mesher,,,,,O,O,
rolling_pin,,,,,O,O,
washing_brush,,,,,O,O,
white_hand_shower,,,,,O,O,
white_pen_cup,,,,,O,O,
white_plastic_box,,,,,O,O,
wood_tray_big,,,,,O,O,
wood_tray_small,1/11,11,,,O,O,
work_lamp,,,,,O,O,
yellow_plastic_cup,,,,,O,O,
blue_vase,0/8,8,,,O,O,"A:pre-snap_z:8"
green_attached_container,5/14,14,,,O,O,
redcar,,,,,O,O,
wood_organizer,16/51,51,,,O,O,"A:pre-snap_z:47"
brass_pot,,,,,O,O,
green_cactus_vase,,,,,O,O,
light_green_basket,,,,,O,O,
pink_clock,,,,,O,O,
plant_pot,,,,,O,O,
spray_bottle,,,,,O,O,
toilet_roll_holder_steel,,,,,O,O,
white_candle_holder,,,,,O,O,
white_clock,,,,,O,O,
white_soap_dish,4/10,10,,,O,O,
white_table_lamp,,,,,O,O,
white_watering_can,,,,,O,O,
yellow_wash_tub,,,,,O,O,
frog_bowl,,,,,O,O,
fruit_cutter_base,,,,,O,O,
fruit_cutter_green,,,,,O,,
fruit_cutter_light_green,,,,,O,O,
metal_scoop_big,1/8,8,6/9,9,O,O,
pastel_blue_cup,,,,,O,O,
balloon_whisk,,,,,O,O,
beige_brush,5/9,9,,,O,O,
black_holder_with_handle,,,,,O,O,
corkscrew,,,,,O,,
white_wood_handle_watering_can,,,,,O,O,
metal_scoop_small,2/9,9,,,O,O,
lemon,,,,,O,O,
apple,,,,,O,O,
orange,,,,,O,O,
frog_cup,4/8,8,,,O,O,
open_short_pringles,3/5,5,,,O,O,
pepper_tuna,1/7,7,,,O,O,"A:pre-snap_z:7; cylinder-snap-buggy"
paper_cup,,,,,O,O,
french_mustard,5/6,6,,,O,O,
spam_can,,,,,O,O,
paper_box,,,,,O,,
paper_bowl,,,,,O,O,
shoe_organizer,,,,,O,O,
tissue_box,,,,,O,,
tennis_ball,,,,,O,O,
tea_case,,,,,O,O,
jja_ramen,7/10,10,,,O,O,
pepsi,,,,,O,O,
baseball,,,,,O,O,
pingpong,,,,,O,O,
book,9/10,10,,,O,O,"A:pre-snap_z:10"
pepper_tuna_light,10/21,21,,,O,,"A:pre-snap_z:21; cylinder-snap-buggy"
pepsi_light,11/19,19,,,O,,"A:pre-snap_z:19; cylinder-snap-buggy"
